Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Belize,BLZ,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.01163921,32.44136066,36.28914202,35.59517528,34.08093896,34.92029072,42.6821537,36.65767463,35.3246878,35.03214578,34.55259456,29.60839243,31.19301282,30.17495213,32.01770413,31.01284183,36.80160877,32.31068951,34.06291812,26.61718866,33.7103392,31.02376251,37.11449009,35.71882064,36.54403749,,,
Bermuda,BMU,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.360272529,2.277817265,2.608359778,2.39176811,2.316647681,1.570240046,2.313677861,2.443905905,,,
Bolivia,BOL,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.35900567,38.28154644,37.05264914,37.23544176,35.51942857,33.53600648,33.13726358,32.76115755,31.40214018,31.54481915,27.39057255,28.31460447,27.73588957,26.08480752,24.5079798,23.47907658,22.55407482,21.52959731,20.50598043,19.99221852,20.07779338,19.36849733,17.92323047,18.63526258,16.81796221,,,
Brazil,BRA,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.86467758,48.93815789,48.70118909,48.19909218,48.35001791,46.13434696,44.53287757,43.72510804,43.86157508,44.09728277,42.7987682,41.47788384,43.02456172,45.30866869,45.3899677,46.34793898,46.90506306,47.41762249,47.26330353,49.11372432,47.00665888,45.46854466,43.62080027,42.44777864,41.81093085,,,
Barbados,BRB,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.94217873,18.48372596,16.98044426,15.11609305,15.11254748,16.03426091,16.80690684,16.40233434,12.13985338,12.81090237,13.62129243,12.28920419,11.06937695,9.947790327,9.92989158,9.907097197,9.903064414,9.710461403,8.628639168,9.380154357,9.031333948,4.584401611,4.132185236,3.400369178,3.1677618,,,
Brunei Darussalam,BRN,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.671759471,0.432168251,0.205761317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015830739,0.014790792,0.013528141,0.013976192,,,
Bhutan,BTN,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.89886121,95.91992554,95.2875014,95.85806592,95.29097559,94.37175864,93.24000864,91.35006172,91.53147873,91.56561346,91.39805068,91.74847622,91.20075064,91.9166588,93.45288788,91.66007394,91.92134496,92.1868336,91.99947867,92.6060175,90.89041281,89.43676584,87.8467098,86.8365006,86.660533,,,
Botswana,BWA,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.58464394,48.08274191,44.70828212,45.88543502,48.27316281,47.17403464,44.68880612,43.99898773,37.39760871,39.83466952,36.55527597,35.6662122,34.24984195,34.22901331,32.1228505,30.76437652,29.36829567,27.66678199,27.16077819,28.25990417,30.18609012,30.27250444,30.28457197,30.02804428,29.16849718,,,
Central African Republic,CAF,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.49426783,93.75224507,94.1078509,93.81460085,93.18764235,93.04624122,91.66483024,91.85804515,89.01755603,85.40948916,85.07343264,84.86031624,84.86031624,85.53126869,85.64597658,85.65290408,84.79722678,80.85726148,80.58301525,80.57923497,79.81061431,78.76718233,78.01982117,77.49189797,77.19169954,,,
Canada,CAN,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.02074955,22.19783659,21.92998517,21.80305306,21.69269134,21.92357681,21.57923638,21.31114434,21.52403286,21.70508318,21.51040235,21.00867951,21.76984184,21.18307607,21.58140317,22.0464427,21.92088506,21.91040519,22.6570559,22.58461337,22.14227981,22.65174145,23.09999369,23.04510049,22.57580705,,,
Central Europe and the Baltics,CEB,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.041131948,4.597084043,5.119301129,6.981068172,7.363963068,7.639237643,8.23668491,8.864068198,9.352656027,9.588514753,9.711256505,9.617282952,9.863218496,10.02231827,10.56007364,10.73681999,10.59714973,10.88077189,11.69375201,13.17222265,13.98368421,14.05384855,14.92639778,15.76180451,16.25695417,,,
Switzerland,CHE,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.11412674,17.46247682,17.2879164,18.34330348,18.68190033,18.05413912,17.10636623,17.8123876,17.49478705,18.79756049,18.6334878,19.19707896,18.69929114,18.55831413,18.65381767,19.32968638,18.6848121,19.95550511,20.26250755,20.78023324,21.49331684,21.58707364,22.99273896,23.01775635,23.45222945,,,
Channel Islands,CHI,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.02687129,37.27277442,38.61766247,35.77040207,34.81768132,34.16753328,32.2306621,29.95356343,29.74520316,29.05420584,31.36150915,32.14603547,33.06928022,31.61387033,31.43391646,32.26133615,32.90539464,30.45981421,30.82256183,31.51862951,27.03328247,28.77717222,30.3276482,30.17799842,26.41527897,,,
